Account Number,Account Source,Annual Revenue,State Code,Country Code,Channel Program Name,Industry,Name,Number of employees,Ownership,Rating,Site,Type,Year Started,Total Opportunity Amount,First Sale Date,Last Sale Date,Average Sales Cycle ,Number of Renewals,Num Opportunities Won,Num Opportunities Lost
642,1,$759086.26,GA,US,2,Semiconductors,Dooley-Kautzer,65755,3,3,US,3,1972,58990,7/23/2017,6/26/2018,89,3,2,1
643,4,$99887.20,VA,US,2,Radio And Television Broadcasting And Communications Equipment,Legros-Swift,73272,2,2,US,4,1922,641825,11-03-2015,07-04-2018,73,3,5,1
644,2,$794242.24,TX,US,2,Semiconductors,"Prosacco, Feil and Rempel",66214,4,2,US,4,1932,116795,12-08-2015,5/22/2018,51,5,1,1
645,1,$562804.70,KY,US,3,Auto Parts:O.E.M.,Cole-Wolf,94119,1,1,US,4,1972,166370,09-10-2016,02-06-2018,77,2,3,5
646,4,$89824.71,TX,US,2,Power Generation,"Smith, Oberbrunner and Prohaska",15003,2,3,US,3,1919,327118,6/24/2015,8/31/2018,41,3,5,5
647,2,$21981.33,WI,US,2,Semiconductors,Johns-Gorczany,10435,4,1,US,6,1983,401854,04-06-2017,3/28/2018,47,1,1,5
648,4,$82546.95,CA,US,3,Specialty Chemicals,"Smitham, Smitham and Casper",94498,4,1,US,3,1983,539465,1/23/2018,2/18/2018,90,4,4,4
649,4,$764161.78,NY,US,3,,Goyette Inc,75286,4,2,US,6,1987,499118,12/22/2017,02-05-2018,41,4,4,1
650,3,$712705.02,DC,US,2,Electric Utilities: Central,"Parisian, Hamill and Williamson",20430,1,1,US,6,1912,512942,8/20/2015,10/18/2018,43,3,2,3
651,5,$575268.71,SC,US,2,,Huels Inc,40483,4,3,US,1,1955,727643,08-10-2015,08-08-2018,38,2,4,4
652,4,$236892.39,NJ,US,3,Finance: Consumer Services,Koch and Sons,55475,2,3,US,1,1992,305790,04-04-2017,1/31/2019,67,4,2,3
653,4,$871769.79,OH,US,3,Medical Specialities,Stanton-Heller,90760,4,3,US,5,1907,608575,5/30/2015,08-08-2018,75,1,4,4
654,4,$597102.84,MO,US,2,Precious Metals,"Satterfield, Ullrich and Swaniawski",73667,1,1,US,5,1917,586295,10-02-2016,2/15/2018,60,1,5,5
655,5,$1521.96,NY,US,3,,Beatty-Leffler,62147,1,1,US,3,1943,557423,1/23/2017,4/14/2018,83,3,1,1
656,4,$417114.47,GA,US,2,Services-Misc. Amusement & Recreation,Jaskolski-Koelpin,89521,3,3,US,5,1904,472067,3/17/2016,4/22/2018,30,2,5,5
657,1,$348517.20,WA,US,3,Electronic Components,Hane Group,58564,1,2,US,7,1940,294840,5/27/2016,06-02-2018,83,4,3,2
658,1,$862310.19,GA,US,3,,Ondricka LLC,99865,4,1,US,6,1914,979856,7/24/2015,12/15/2018,31,4,3,1
659,5,$720358.62,CT,US,3,Water Supply,Rohan LLC,4000,1,1,US,4,1932,888328,12/28/2016,07-06-2018,61,3,2,1
660,4,$643494.69,FL,US,2,Major Pharmaceuticals,Senger Group,73658,3,2,US,2,1944,640964,09-12-2015,07-01-2018,71,4,4,3
661,2,$678329.65,NV,US,2,Biotechnology: Laboratory Analytical Instruments,Schaden LLC,79723,3,3,US,6,1927,513920,10/22/2017,10/17/2018,56,3,3,3
662,2,$699479.01,VA,US,3,Oil & Gas Production,Murphy-Nolan,77198,3,2,US,6,1934,458388,4/14/2015,1/20/2019,47,1,5,5
663,3,$834207.28,IL,US,2,Restaurants,Schaden-Effertz,75706,2,2,US,4,1920,182105,11/15/2015,11-08-2018,77,2,2,5
664,3,$275217.69,KS,US,2,Business Services,Powlowski Group,33237,2,1,US,1,1953,896068,10/29/2015,3/22/2018,69,2,3,5
665,5,$883268.08,OH,US,3,Semiconductors,"Trantow, McCullough and Kirlin",11338,4,1,US,6,1952,972825,07-05-2016,04-04-2018,64,4,4,5
666,5,$25438.43,MO,US,2,Water Supply,"Rosenbaum, Beier and Pfannerstill",81907,4,1,US,7,1963,567040,06-07-2016,2/28/2018,50,3,2,4
667,5,$14363.77,AL,US,3,Specialty Insurers,DuBuque-Hayes,18534,4,3,US,7,1953,657823,11/25/2015,12/26/2018,79,5,4,4
668,1,$606966.89,NY,US,2,Integrated oil Companies,"Bode, Macejkovic and Schowalter",71077,1,1,US,2,1924,629585,01-07-2017,09-01-2018,34,2,4,4
669,4,$985091.19,TX,US,3,Building operators,Schowalter-Miller,97821,4,2,US,3,1925,301786,3/18/2016,10-04-2018,86,1,1,1
670,3,$873725.10,AZ,US,2,Major Pharmaceuticals,Langworth Group,59747,2,2,US,1,1927,160891,10-08-2017,9/22/2018,44,3,3,4
671,5,$768317.31,TX,US,2,Major Banks,Legros-Sipes,20300,2,1,US,1,1973,566352,01-01-2016,05-12-2018,69,2,4,2
672,1,$915706.22,MI,US,2,Metal Fabrications,"Littel, Tremblay and Goodwin",58877,4,3,US,3,1994,650256,3/27/2016,06-12-2018,62,4,3,2
673,4,$963301.02,CA,US,2,,Leffler and Sons,54947,1,1,US,1,1930,660975,03-03-2017,1/25/2019,81,1,4,2
674,5,$22349.18,CA,US,2,Electronic Components,"Funk, Kirlin and Wilderman",13012,4,1,US,6,1928,942649,9/30/2015,10-04-2018,72,1,2,3
675,5,$707059.13,TX,US,2,Industrial Machinery/Components,Nienow-Mertz,81659,4,1,US,3,1904,829114,05-12-2017,8/17/2018,71,1,5,5
676,2,$471378.75,VA,US,3,,"Wintheiser, Funk and Rempel",19697,4,2,US,1,1975,577533,12-03-2015,8/15/2018,59,1,4,4
677,5,$9894.17,FL,US,2,Major Pharmaceuticals,"Ward, Kerluke and Larkin",76284,4,1,US,1,1928,17674,2/19/2017,5/20/2018,89,2,3,4
678,5,$751515.83,IL,US,2,Oil & Gas Production,Mayert-Ledner,37975,3,1,US,6,1993,329577,09-07-2017,6/21/2018,54,2,2,5
679,4,$882433.21,MI,US,2,,Simonis-Grady,7666,4,1,US,2,1982,45126,04-08-2015,10/24/2018,34,3,4,4
680,3,$556772.32,KS,US,2,Paper,Aufderhar Inc,24771,2,3,US,6,1971,53925,12/18/2017,11/25/2018,77,2,1,5
681,3,$391075.53,TX,US,3,Major Banks,"Langworth, Bashirian and Barton",23815,3,1,US,4,1954,852672,4/24/2017,10-10-2018,86,2,5,2
682,4,$101290.97,MI,US,2,Major Chemicals,Kreiger Group,17641,4,2,US,1,1909,447840,7/29/2016,4/15/2018,77,5,3,5
683,3,$208452.23,TX,US,3,,Swift-Balistreri,19286,3,1,US,7,1987,499592,7/25/2017,10-01-2018,78,3,2,1
684,1,$84818.49,ND,US,3,Real Estate,"McGlynn, Hickle and Koch",8559,2,2,US,3,1937,899592,8/28/2016,1/14/2019,65,1,1,5
685,5,$517487.69,TX,US,3,Business Services,Casper-Stark,51278,2,2,US,5,1963,110339,02-12-2015,01-10-2019,85,5,4,2
686,3,$369340.21,IL,US,3,Other Specialty Stores,Mayer-Waelchi,83951,4,3,US,5,1998,227280,8/23/2017,4/25/2018,73,2,1,4
687,2,$969357.60,GA,US,3,Medical/Dental Instruments,Zboncak-Heller,34161,1,1,US,5,1998,44115,3/30/2017,9/14/2018,85,3,4,2
688,3,$316364.39,CT,US,3,Precious Metals,"Hintz, Kessler and Block",91220,1,2,US,5,1936,927113,02-08-2015,6/30/2018,46,1,2,5
689,2,$400540.22,GA,US,3,,Jakubowski Group,11872,1,3,US,3,1999,435530,05-02-2016,08-08-2018,33,4,5,2
690,2,$493721.52,FL,US,2,Computer Software: Prepackaged Software,"Schneider, Hills and Waters",77997,4,2,US,7,1978,286249,03-01-2017,05-01-2018,58,4,1,3
691,3,$436139.38,CA,US,3,Farming/Seeds/Milling,"Raynor, Schneider and Stanton",47300,3,1,US,7,1927,704214,9/28/2016,01-11-2019,88,2,3,4
692,4,$659268.55,SC,US,2,Major Pharmaceuticals,Schultz-Hermann,41602,2,2,US,5,1932,320310,6/25/2016,7/29/2018,58,5,3,4
693,5,$416842.59,TX,US,3,,"Hand, Roberts and Rodriguez",85956,3,2,US,1,1921,893802,12/13/2017,10/25/2018,38,2,2,1
694,3,$453510.25,FL,US,3,,Stokes-Schultz,86854,2,2,US,2,1919,399915,3/13/2017,9/26/2018,79,5,3,1
695,1,$589687.17,PA,US,2,Power Generation,Ward-Altenwerth,97060,2,3,US,6,1998,205587,4/19/2016,3/17/2018,43,5,4,5
696,3,$460836.49,CA,US,2,Major Banks,"Balistreri, Parker and Klocko",42852,2,3,US,7,1977,46323,03-04-2017,6/14/2018,64,3,1,4
697,1,$507129.37,CA,US,3,Biotechnology: Biological Products (No Diagnostic Substances),"Goldner, Ryan and Heaney",78742,4,3,US,7,1926,319200,8/20/2016,1/17/2019,78,4,3,5
698,4,$741576.53,VA,US,3,,Turcotte Inc,43461,1,3,US,3,1907,286603,9/19/2016,11/26/2018,78,5,2,3
699,1,$733417.96,AL,US,3,Accident &Health Insurance,Casper and Sons,742,4,1,US,4,1988,385074,05-07-2017,01-07-2019,57,2,2,2
700,2,$603066.83,IL,US,4,,Deckow Inc,87450,3,1,US,5,1939,855181,11/29/2015,4/18/2018,52,5,4,1
701,1,$914602.76,FL,US,3,,Gaylord-Kassulke,94813,1,1,US,3,1969,527994,2/15/2015,9/22/2018,50,5,4,2
702,3,$125378.53,CO,US,2,Biotechnology: In Vitro & In Vivo Diagnostic Substances,"Paucek, Nikolaus and Connelly",42039,2,2,US,2,1981,295452,9/23/2017,1/19/2019,53,3,3,4
703,2,$223370.37,FL,US,2,,Kassulke-Larkin,69161,3,2,US,3,1977,713607,8/18/2016,8/29/2018,71,4,3,2
704,4,$539015.76,FL,US,2,Property-Casualty Insurers,Volkman Inc,25853,1,2,US,2,1918,970308,12/26/2015,11-09-2018,37,5,1,4
705,1,$582141.89,TX,US,3,Business Services,Kozey Inc,83069,1,2,US,6,1965,762123,10-10-2016,5/14/2018,79,3,4,4
706,2,$132493.49,CA,US,3,Major Pharmaceuticals,Walsh and Sons,9426,2,3,US,7,1941,409777,06-10-2017,09-05-2018,55,1,3,5
707,2,$658541.83,AZ,US,3,Trucking Freight/Courier Services,Quigley-Borer,75541,1,1,US,4,1939,913093,11-03-2016,10-09-2018,74,3,2,3
708,3,$54221.68,CA,US,3,Semiconductors,Wolf-Kutch,18332,3,2,US,5,1991,808646,12/27/2015,11-05-2018,55,2,4,2
709,4,$981749.22,NC,US,2,,Streich-Johns,30173,2,2,US,4,1906,559260,9/22/2016,10-06-2018,46,1,1,3
710,3,$536554.33,MS,US,2,,Tremblay Inc,5940,1,1,US,5,1984,266490,8/26/2015,3/22/2018,86,5,4,4
711,1,$774998.78,NC,US,3,Ophthalmic Goods,Smith Inc,15512,2,3,US,6,1911,278724,6/25/2016,4/22/2018,30,2,5,5
712,1,$584297.71,MI,US,3,Major Pharmaceuticals,Howell Inc,51705,1,2,US,5,1934,737958,11/21/2017,03-06-2018,69,1,1,1
713,3,$246711.65,FL,US,2,Electric Utilities: Central,Tillman-Yundt,32834,2,2,US,5,1936,349220,07-06-2016,1/21/2019,66,4,5,4
714,2,$32554.71,FL,US,2,Apparel,"Zemlak, Mayert and Hermann",92446,4,3,US,1,1981,615706,10-01-2016,4/28/2018,67,3,2,1
715,1,$397876.24,AR,US,2,Forest Products,Schmitt Inc,55734,4,1,US,4,1958,56441,10/31/2017,9/22/2018,55,2,5,3
716,5,$513106.20,LA,US,3,,Cassin and Sons,29777,4,1,US,3,1933,252183,3/13/2017,07-09-2018,36,3,3,1
717,5,$923445.43,FL,US,2,Auto Manufacturing,"Rice, Cremin and McCullough",52748,4,1,US,6,1959,374840,4/26/2017,6/24/2018,82,3,5,5
718,2,$918658.52,TX,US,3,,Kohler-Welch,4180,3,2,US,7,1968,651935,7/24/2017,4/27/2018,53,1,1,4
719,2,$470068.30,FL,US,2,Major Chemicals,Von LLC,8178,3,1,US,3,1955,86364,9/22/2016,12-12-2018,37,3,4,4
720,1,$818494.33,CA,US,3,Investment Bankers/Brokers/Service,"Moen, Abshire and Vandervort",69197,2,1,US,6,1977,886825,8/19/2016,3/18/2018,69,2,4,3
721,4,$800361.75,IA,US,3,Real Estate Investment Trusts,Robel Inc,69557,3,1,US,3,1978,829789,3/16/2017,06-02-2018,68,3,1,1
722,2,$458085.39,PA,US,3,Clothing/Shoe/Accessory Stores,Kozey-Mante,10272,4,1,US,2,1978,594697,8/22/2015,3/24/2018,55,2,1,1
723,1,$563616.24,TX,US,2,Professional Services,"Stamm, Wilkinson and Cummings",3411,2,1,US,3,1988,374838,09-06-2015,01-06-2019,88,5,2,5
724,2,$785330.79,KS,US,3,,"Schulist, Prohaska and Schaden",27257,3,2,US,4,1980,453905,4/13/2017,4/28/2018,39,4,1,2
725,1,$287954.18,FL,US,3,Biotechnology: Biological Products (No Diagnostic Substances),Halvorson-Gulgowski,48442,3,1,US,4,1959,826823,10/15/2016,08-04-2018,34,4,4,5
726,4,$210242.90,CA,US,2,,Renner Group,19124,3,1,US,3,1971,907532,11-10-2015,7/26/2018,57,2,2,2
727,1,$281256.85,NY,US,2,Department/Specialty Retail Stores,"Walker, Strosin and Sawayn",63870,4,3,US,2,1933,747679,09-10-2017,10/24/2018,89,5,1,2
728,4,$574629.66,LA,US,2,Life Insurance,Corwin Group,37140,4,1,US,5,1935,208582,05-11-2015,01-07-2019,82,3,1,1
729,5,$738920.43,CA,US,3,,Rogahn Group,86621,4,2,US,3,1940,209354,7/13/2017,11/24/2018,65,5,4,3
730,1,$663382.40,GA,US,3,Computer Software: Prepackaged Software,"Heaney, Leuschke and Walsh",67588,1,1,US,1,1956,294161,10/24/2017,7/30/2018,45,1,4,4
731,4,$748365.22,OH,US,3,Electric Utilities: Central,Langworth Inc,17877,4,3,US,2,1972,184269,05-01-2016,6/17/2018,43,2,1,3
732,4,$584424.31,TX,US,2,Savings Institutions,"Nikolaus, Boyer and Morissette",39726,3,3,US,3,1916,906930,7/17/2017,9/19/2018,81,4,1,2
733,5,$818576.74,LA,US,3,Diversified Commercial Services,Bailey Group,64655,4,1,US,2,1967,457837,1/13/2017,9/15/2018,50,5,5,2
734,2,$25842.73,GA,US,3,Finance Companies,"Kohler, Hermiston and Hartmann",21062,4,2,US,1,1970,855908,08-09-2017,7/23/2018,56,1,4,5
735,5,$183031.56,NY,US,3,Savings Institutions,"Blanda, Ward and Hoeger",69383,4,1,US,3,1979,834988,7/14/2017,6/29/2018,90,5,1,1
736,1,$335434.36,DC,US,2,,Weissnat and Sons,67511,2,2,US,4,1903,834535,11-03-2015,1/29/2019,63,5,4,3
737,3,$277226.21,OK,US,3,Other Consumer Services,Jast-Boyle,65251,4,1,US,5,1917,331121,4/26/2017,03-08-2018,40,4,2,1
738,4,$746657.69,KY,US,2,Forest Products,Schumm Group,22193,2,2,US,2,1987,238404,06-05-2017,04-09-2018,45,4,4,4
739,2,$313173.76,TX,US,2,,Buckridge Inc,29009,4,3,US,2,1902,952928,11/29/2017,3/25/2018,35,1,5,5
740,3,$411983.85,IA,US,3,,"Powlowski, Terry and Considine",53700,1,2,US,4,1968,77245,3/21/2016,06-05-2018,46,1,3,3
741,3,$198979.99,MN,US,3,Major Banks,Champlin Inc,64879,3,1,US,3,1905,82338,5/28/2017,07-04-2018,57,2,3,4
742,2,$351773.74,VA,US,1,,Franecki LLC,98095,2,1,US,2,1937,57601,12-10-2017,11/25/2018,57,1,2,4
743,3,$94655.14,TX,US,1,Packaged Foods,Koepp-Berge,88530,3,1,US,6,1946,915851,02-10-2016,12-09-2018,69,3,1,3
744,4,$472554.46,CA,US,2,Major Chemicals,"Russel, Cole and Romaguera",53310,4,1,US,2,1903,43071,10/15/2016,11-04-2018,63,2,5,4
745,2,$827109.78,WA,US,3,Savings Institutions,Waters-Gutkowski,25812,1,2,US,7,1942,294074,11/15/2017,3/24/2018,46,5,2,4
746,3,$633922.04,TX,US,3,Major Pharmaceuticals,Volkman-Hessel,18942,4,3,US,3,1982,246977,05-06-2017,3/14/2018,38,1,3,3
747,1,$566826.81,NY,US,3,Savings Institutions,Murray-Beer,90955,2,3,US,3,2000,963980,1/23/2018,3/28/2018,30,5,5,1
748,5,$339968.80,WA,US,3,Homebuilding,"Kozey, Abshire and Bruen",43092,2,3,US,1,1925,938793,06-07-2017,9/22/2018,58,3,3,5
749,1,$920295.09,FL,US,3,Investment Managers,Beer and Sons,32830,4,1,US,1,1931,873042,10/20/2016,01-08-2019,33,5,3,5
750,1,$751791.24,DC,US,2,,"Ernser, Carter and Jacobs",96997,3,1,US,7,1964,40064,9/27/2016,11-02-2018,73,4,3,3
751,4,$319628.24,MI,US,2,Major Banks,Donnelly and Sons,26310,3,2,US,2,1989,385300,06-03-2015,4/14/2018,81,2,3,5
752,1,$892785.47,FL,US,3,Metal Fabrications,"McCullough, Stanton and Wilkinson",53575,4,3,US,3,1952,819644,10-01-2017,09-02-2018,54,4,4,2
753,3,$657860.16,TX,US,2,Oil/Gas Transmission,"Breitenberg, Waters and Collins",66746,1,3,US,3,1940,132276,8/30/2017,03-09-2018,81,1,1,1
754,2,$532896.34,AZ,US,3,Retail: Computer Software & Peripheral Equipment,"Mayer, Mueller and Bailey",96363,3,1,US,7,1933,628748,12/25/2016,5/31/2018,89,4,3,3
755,4,$865628.28,AZ,US,3,EDP Services,"Krajcik, Brown and Hand",76582,4,3,US,7,1906,356033,10-11-2017,10/20/2018,39,2,1,5
756,2,$425815.15,OH,US,3,Major Banks,Bogisich-Hermann,6008,4,2,US,6,1943,158648,09-04-2017,2/26/2018,69,3,4,5
757,1,$352673.99,MI,US,2,Marine Transportation,Dach LLC,89702,2,2,US,6,1963,775388,2/20/2016,11/19/2018,45,2,3,3
758,1,$503190.08,OH,US,3,Movies/Entertainment,Rosenbaum LLC,18849,2,3,US,3,1994,561027,07-07-2016,10/23/2018,67,2,3,2
759,5,$199423.69,OK,US,2,,Von-Keebler,52579,3,1,US,3,1995,167545,12-01-2016,7/28/2018,36,3,2,1
760,4,$303306.36,IL,US,2,Real Estate Investment Trusts,"Kerluke, Wiegand and Pacocha",19809,2,2,US,5,1906,803023,09-02-2016,3/14/2018,46,5,4,3
761,5,$126839.96,CA,US,3,Business Services,"McKenzie, Schneider and Hackett",79463,1,3,US,4,1968,417107,8/15/2015,07-06-2018,85,4,2,4
762,1,$615132.37,VA,US,3,Packaged Foods,Rempel-O'Reilly,36409,1,1,US,3,1942,23430,1/17/2017,04-03-2018,55,5,2,4
763,1,$990288.93,MO,US,2,Major Chemicals,Dooley and Sons,49809,1,3,US,3,1946,803566,11-12-2015,8/19/2018,73,4,5,1
764,1,$434846.78,IN,US,3,,"Beahan, Connelly and Padberg",33384,3,1,US,5,1928,25571,04-05-2015,04-12-2018,89,2,2,1
765,2,$688830.91,SC,US,3,Plastic Products,Donnelly-Simonis,62733,4,2,US,2,1971,130602,8/30/2015,5/14/2018,71,3,3,1
766,4,$975822.76,CA,US,3,Packaged Foods,"Auer, Hodkiewicz and Grady",31164,4,2,US,4,1997,627770,4/17/2016,1/13/2019,71,4,5,5
767,2,$614123.71,GA,US,2,Natural Gas Distribution,Renner and Sons,54341,3,2,US,5,1969,487695,1/14/2016,09-06-2018,75,2,2,5
768,3,$477820.04,FL,US,2,Finance: Consumer Services,Price and Sons,52759,4,2,US,6,1954,538846,9/22/2016,10/23/2018,70,2,1,1
769,1,$665500.66,MN,US,3,Life Insurance,Gleason Group,46324,3,1,US,5,1987,743991,02-11-2017,12-07-2018,53,4,5,1
770,2,$127476.34,NY,US,2,Medical/Dental Instruments,Vandervort Inc,39723,2,1,US,6,1991,784399,11-05-2017,09-02-2018,66,4,5,5
771,2,$602300.36,UT,US,2,,Pfannerstill-Lakin,53701,2,3,US,3,1976,59329,12/20/2017,03-09-2018,80,2,1,4
772,5,$348365.26,VA,US,3,,Bahringer-Krajcik,71503,3,1,US,5,1926,926770,8/13/2015,6/13/2018,43,5,2,2
773,4,$980635.76,GA,US,3,Diversified Commercial Services,Kutch Inc,44137,2,1,US,4,1902,809608,10-07-2015,05-08-2018,83,2,1,1
774,4,$7608.82,TX,US,3,Electric Utilities: Central,Balistreri-Dietrich,30668,3,2,US,3,1997,335648,12-06-2015,05-08-2018,89,2,1,4
775,5,$843413.60,FL,US,2,Marine Transportation,Ondricka and Sons,86980,4,1,US,2,1932,240123,6/13/2015,1/18/2019,71,3,4,1
776,2,$972182.37,CA,US,2,Savings Institutions,"Maggio, Wyman and Lang",79467,2,3,US,5,1936,543832,5/29/2017,02-08-2018,43,2,2,3
777,4,$740920.72,TN,US,2,Trucking Freight/Courier Services,"Buckridge, Becker and Kunze",77932,3,2,US,4,1953,367917,05-10-2017,5/22/2018,35,1,1,3
778,4,$851380.70,NV,US,2,,Terry-Shields,48793,2,3,US,2,1919,378365,05-12-2017,6/29/2018,30,3,2,1
779,4,$730976.58,TX,US,2,,"Gleichner, Marquardt and Powlowski",60695,2,1,US,5,1925,48157,5/30/2016,08-11-2018,83,2,2,5
780,2,$299628.02,CA,US,2,Biotechnology: Biological Products (No Diagnostic Substances),Ullrich LLC,61781,4,2,US,1,1958,786800,05-06-2015,7/26/2018,48,1,5,2
781,4,$549643.90,MS,US,2,Major Banks,"Breitenberg, Wintheiser and Marks",97714,4,2,US,3,1946,732298,12-02-2015,04-10-2018,31,3,3,4
782,5,$783616.78,CA,US,3,Commercial Banks,Fahey-Haag,34470,1,2,US,7,1967,134257,12/13/2017,10-11-2018,63,1,5,2
783,4,$948097.53,CA,US,3,Investment Managers,Stroman-Batz,91153,4,2,US,2,1963,289461,07-03-2017,9/28/2018,88,2,2,3
784,1,$88169.46,TX,US,3,,Krajcik Group,73216,2,1,US,5,1981,699221,02-03-2016,11-07-2018,33,4,3,2
785,2,$168984.26,AZ,US,3,Construction/Ag Equipment/Trucks,"Rath, Prosacco and Walsh",20845,3,2,US,3,1953,357104,6/23/2015,9/27/2018,87,1,1,5
786,2,$170495.60,LA,US,3,Major Pharmaceuticals,"Stracke, Johnston and Shanahan",12016,4,2,US,5,1927,404835,11-06-2017,11-01-2018,63,1,4,2
787,2,$888283.34,DC,US,3,Other Consumer Services,"Ratke, Haley and Heidenreich",55936,3,3,US,2,1918,164717,7/16/2016,12-10-2018,38,1,4,5
788,3,$501204.57,VA,US,2,Major Pharmaceuticals,Schamberger LLC,7799,2,1,US,4,1911,98401,07-01-2017,1/24/2019,52,2,3,3
789,4,$934523.56,TX,US,3,,Swift Inc,8613,2,2,US,5,2000,941621,06-09-2016,12-05-2018,90,4,5,5
790,1,$129044.13,MN,US,2,Telecommunications Equipment,"Blanda, Quitzon and Douglas",30522,4,1,US,6,1921,498470,09-03-2015,2/21/2018,44,2,3,2
791,4,$571713.40,NY,US,3,,Feil-Kautzer,53632,3,1,US,2,1989,77670,10/19/2015,05-10-2018,76,1,2,4
792,2,$327483.32,FL,US,2,,"Abernathy, Raynor and Rutherford",50249,3,3,US,7,1905,962703,11-09-2015,1/30/2019,76,4,2,1
793,1,$25167.19,OH,US,3,Biotechnology: Biological Products (No Diagnostic Substances),"McGlynn, Russel and Daniel",56961,4,2,US,5,1990,880278,12/13/2017,4/24/2018,45,5,1,5
794,1,$237743.46,TN,US,3,Apparel,Kemmer-Morissette,78614,1,2,US,4,1978,614115,7/15/2015,01-02-2019,86,5,1,3
795,4,$337546.96,CA,US,3,Semiconductors,Luettgen Group,34261,1,1,US,3,1990,145490,2/20/2016,04-11-2018,73,1,5,5
796,2,$698968.01,DC,US,3,Business Services,Ledner and Sons,47537,3,3,US,5,1985,22495,12-11-2016,6/16/2018,60,4,3,2
797,5,$900657.57,NY,US,3,Tobacco,"Flatley, Stroman and Wiza",63845,3,1,US,5,1946,223013,01-10-2017,08-09-2018,78,4,1,2
798,1,$882942.90,MO,US,2,Industrial Machinery/Components,Runte-Metz,62262,4,2,US,7,1974,878074,4/13/2017,8/18/2018,61,2,5,5
799,5,$765750.01,NE,US,2,Packaged Foods,Goodwin Inc,12273,4,3,US,5,1910,511967,11/20/2017,6/24/2018,68,2,2,2
800,1,$341964.16,VA,US,2,Real Estate Investment Trusts,"Gibson, Roob and Hessel",10378,4,1,US,3,1980,863705,12-03-2015,7/16/2018,72,3,2,3
801,4,$249434.46,FL,US,3,Restaurants,Friesen LLC,8771,4,3,US,3,1949,559980,9/16/2017,09-07-2018,72,1,2,1
802,3,$92760.68,AZ,US,2,Major Chemicals,Huels Group,42330,1,3,US,2,1992,841086,8/19/2015,3/31/2018,69,5,1,2
803,2,$847510.26,OH,US,3,Major Banks,Koelpin Inc,72402,1,3,US,4,1959,881765,11/22/2016,05-11-2018,61,2,5,5
804,1,$252327.13,WA,US,2,Engineering & Construction,Nienow Inc,49794,1,2,US,6,1935,823674,2/17/2016,8/20/2018,33,5,4,5
805,2,$110783.09,IL,US,2,Computer Software: Prepackaged Software,Franecki Group,19220,3,2,US,2,1939,831851,4/29/2017,05-03-2018,65,3,3,3
806,3,$356650.38,PA,US,2,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Wiza LLC,78504,3,2,US,3,1908,335376,01-06-2016,9/24/2018,82,3,4,2
807,5,$828438.93,TX,US,3,,Jast Inc,80305,4,2,US,1,1928,14776,8/29/2015,10/22/2018,60,5,4,3
808,1,$126144.86,AZ,US,2,Investment Bankers/Brokers/Service,Harris-O'Keefe,29232,3,3,US,6,1963,360834,12/22/2016,01-10-2019,73,1,1,2
809,1,$887503.94,NY,US,3,Major Banks,Renner and Sons,38450,4,1,US,3,1932,536496,05-04-2015,01-01-2019,89,1,5,5
810,5,$797206.20,NV,US,3,Television Services,Von Group,47315,2,1,US,3,1909,174251,11/30/2017,6/27/2018,49,5,3,1
811,1,$77862.82,NJ,US,3,Major Banks,Erdman-Ferry,25536,4,2,US,4,1945,860452,12-06-2017,6/22/2018,79,1,3,1
812,2,$408902.31,CO,US,2,EDP Services,Simonis and Sons,90549,3,2,US,2,1993,660604,11/26/2017,09-12-2018,61,2,5,4
813,2,$827687.20,CA,US,3,Finance: Consumer Services,Gerlach-Donnelly,44201,4,2,US,7,1906,618026,10-07-2016,9/14/2018,60,5,2,2
814,4,$215354.17,OH,US,3,Oil & Gas Production,"Leannon, Price and Oberbrunner",13325,3,3,US,4,1973,350860,8/21/2015,04-03-2018,79,3,3,2
815,3,$106903.14,CA,US,2,Electric Utilities: Central,"Barrows, Crist and Feest",26922,4,3,US,7,1998,904121,1/24/2017,2/16/2018,87,5,2,4
816,1,$620022.39,CA,US,3,Industrial Machinery/Components,"Wyman, Ritchie and Quigley",76950,1,2,US,3,1941,586543,06-03-2016,10-07-2018,75,5,3,4
817,3,$955963.21,OH,US,3,Package Goods/Cosmetics,Barrows-Boyer,29928,1,2,US,6,1907,207153,6/29/2017,06-10-2018,35,5,1,5
818,1,$249100.63,MD,US,2,Natural Gas Distribution,Ledner and Sons,5662,4,2,US,3,1968,665065,06-07-2017,11/21/2018,39,3,2,3
819,1,$786164.00,KS,US,2,,"Glover, Ratke and Hintz",93028,4,1,US,6,1968,99369,10/28/2017,03-04-2018,48,1,5,1
820,5,$517891.55,NY,US,3,Broadcasting,"Ernser, Nader and Aufderhar",74088,1,3,US,4,2000,421098,3/15/2017,02-05-2018,41,4,5,1
821,2,$785437.08,LA,US,3,Major Pharmaceuticals,"Hand, Fahey and Effertz",68777,3,1,US,5,1996,466467,01-08-2017,02-11-2018,45,5,3,1
822,3,$188558.72,CA,US,2,Marine Transportation,Anderson and Sons,36952,2,1,US,6,1985,607307,5/16/2015,8/31/2018,38,1,1,4
823,1,$79420.41,TX,US,3,Medical/Dental Instruments,"Jacobi, Kutch and Sauer",46267,3,2,US,7,1990,913498,11/14/2017,04-12-2018,69,5,1,3
824,5,$230898.84,TX,US,2,Telecommunications Equipment,Schmeler-Russel,91239,4,2,US,7,1901,802331,07-07-2017,07-11-2018,56,1,5,4
